12:53:29.105601 IP6 asus.mdns > ff02::fb.mdns: 0 [9q] PTR (QM)? _ipps._tcp.local. PTR (QM)? _ftp._tcp.local. PTR (QM)? _webdav._tcp.local. PTR (QM)? _webdavs._tcp.local. PTR (QM)? _sftp-ssh._tcp.local. PTR (QM)? _smb._tcp.local. PTR (QM)? _afpovertcp._tcp.local. PTR (QM)? _nfs._tcp.local. PTR (QM)? _ipp._tcp.local. (141)
12:55:25.389802 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.390386 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.390988 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.391568 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.392174 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.392783 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.393392 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.394001 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.394581 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.395180 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.395761 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.396352 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
12:55:25.396950 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
