16:39:49.530413 IP6 asus.mdns > ff02::fb.mdns: 0 [9q] PTR (QM)? _nfs._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _ftp._tcp.local. PTR (QM)? _webdav._tcp.local. PTR (QM)? _webdavs._tcp.local. PTR (QM)? _sftp-ssh._tcp.local. PTR (QM)? _smb._tcp.local. PTR (QM)? _afpovertcp._tcp.local. (141)
16:39:56.819635 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.820254 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.820852 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.821449 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.822041 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.822633 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.823226 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.823818 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.824425 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.825024 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.825639 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.826260 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.826879 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.827499 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.828119 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.828739 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.829360 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.829979 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.830600 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.831219 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.831840 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.832461 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.833081 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.833700 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.834304 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.834902 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.835522 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.836142 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.836762 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.837382 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.838002 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.838622 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.839242 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.839862 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.840483 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.841104 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.841725 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.842345 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.842964 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.843584 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.844190 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.844811 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.845431 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.846053 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.846673 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.847294 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.847914 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.848535 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.849155 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.849776 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.850397 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.851017 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.851637 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.852266 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.852887 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
16:39:56.853506 IP 10.0.0.1.12345 > 10.0.0.2.12345: UDP, length 16
